Pos	P(stop)	P(match)	P(mismatch)	P(ins)]	P(del)
0	0.000000	0.999993	0.000003	0.000000	0.000003
1	0.004216	0.999980	0.000017	0.000000	0.000003
2	0.004216	0.988223	0.011771	0.000000	0.000007
3	0.004223	0.982798	0.012978	0.001267	0.002957
4	0.004223	0.983056	0.013219	0.001425	0.002300
5	0.004223	0.982131	0.013933	0.001663	0.002273
6	0.004223	0.981306	0.014895	0.001857	0.001941
7	0.004230	0.981967	0.013836	0.002102	0.002095
8	0.004233	0.979385	0.016176	0.002209	0.002229
9	0.004236	0.981249	0.014319	0.002209	0.002223
10	0.004236	0.980394	0.014607	0.002635	0.002364
11	0.004236	0.980736	0.014215	0.002484	0.002565
12	0.004236	0.979040	0.015646	0.002669	0.002645
13	0.004240	0.978668	0.015804	0.002628	0.002900
14	0.004240	0.978406	0.015455	0.003044	0.003094
15	0.004243	0.979140	0.014835	0.003155	0.002870
16	0.004243	0.978443	0.015563	0.003198	0.002796
17	0.004243	0.978617	0.015415	0.003175	0.002793
18	0.004246	0.976465	0.016857	0.003644	0.003034
19	0.004253	0.978285	0.015295	0.003379	0.003041
20	0.004253	0.977605	0.015368	0.003849	0.003178
21	0.004253	0.975476	0.017256	0.004026	0.003242
22	0.004256	0.976227	0.016297	0.003943	0.003534
23	0.004260	0.976240	0.016321	0.003936	0.003503
24	0.004260	0.977387	0.015124	0.003852	0.003638
25	0.004266	0.977165	0.015332	0.004043	0.003460
26	0.004266	0.977189	0.015171	0.004020	0.003621
27	0.004266	0.976156	0.016522	0.003664	0.003658
28	0.004266	0.975837	0.016374	0.003899	0.003889
29	0.004276	0.975207	0.017035	0.004265	0.003493
30	0.004280	0.974955	0.016559	0.004345	0.004141
31	0.004283	0.974855	0.016767	0.004218	0.004161
32	0.004283	0.974761	0.017008	0.003899	0.004332
33	0.004283	0.975800	0.016029	0.003993	0.004177
34	0.004283	0.976125	0.015339	0.004251	0.004285
35	0.004290	0.975887	0.015526	0.004315	0.004271
36	0.004290	0.976129	0.015258	0.004318	0.004295
37	0.004293	0.975461	0.015654	0.004432	0.004452
38	0.004296	0.974858	0.016301	0.004308	0.004533
39	0.004296	0.973175	0.017558	0.004885	0.004382
40	0.004300	0.973895	0.016643	0.005046	0.004416
41	0.004300	0.975015	0.016331	0.004174	0.004479
42	0.004303	0.975230	0.015993	0.004332	0.004446
43	0.004303	0.974915	0.015869	0.004764	0.004452
44	0.004303	0.975572	0.015869	0.004275	0.004285
45	0.004306	0.976054	0.015429	0.004184	0.004332
46	0.004310	0.975709	0.015792	0.004308	0.004191
47	0.004310	0.975163	0.016134	0.004228	0.004476
48	0.004310	0.976105	0.014980	0.004352	0.004563
49	0.004313	0.973305	0.017528	0.004392	0.004774
50	0.004313	0.976155	0.014538	0.004516	0.004791
51	0.004313	0.974831	0.015949	0.004530	0.004691
52	0.004313	0.974981	0.015691	0.004496	0.004831
53	0.004313	0.974482	0.016305	0.004382	0.004831
54	0.004313	0.975816	0.014816	0.004466	0.004902
55	0.004313	0.975541	0.015148	0.004426	0.004885
56	0.004323	0.975960	0.014947	0.004245	0.004848
57	0.004323	0.974726	0.015758	0.004503	0.005012
58	0.004326	0.973717	0.016741	0.004610	0.004932
59	0.004326	0.974512	0.015882	0.004483	0.005123
60	0.004326	0.974937	0.015608	0.004603	0.004852
61	0.004330	0.975440	0.015135	0.004513	0.004912
62	0.004330	0.975618	0.015222	0.004325	0.004835
63	0.004330	0.975095	0.015785	0.004439	0.004681
64	0.004330	0.976349	0.014370	0.004399	0.004882
65	0.004330	0.974388	0.015832	0.004758	0.005023
66	0.004330	0.975025	0.015695	0.004617	0.004664
67	0.004330	0.974857	0.015205	0.004825	0.005113
68	0.004330	0.974709	0.015540	0.004607	0.005143
69	0.004330	0.973308	0.017123	0.004453	0.005116
70	0.004330	0.975652	0.014806	0.004684	0.004858
71	0.004333	0.973737	0.016238	0.004865	0.005160
72	0.004337	0.974723	0.015554	0.004878	0.004845
73	0.004337	0.973962	0.016382	0.004798	0.004858
74	0.004340	0.974699	0.014890	0.005505	0.004905
75	0.004343	0.974008	0.016114	0.004878	0.004999
76	0.004350	0.975641	0.014387	0.005056	0.004915
77	0.004353	0.974296	0.015548	0.005153	0.005003
78	0.004353	0.973428	0.016215	0.005043	0.005314
79	0.004353	0.973301	0.015843	0.004879	0.005978
80	0.004353	0.974695	0.014998	0.004956	0.005351
81	0.004357	0.974353	0.015212	0.005167	0.005267
82	0.004357	0.974444	0.014951	0.005056	0.005549
83	0.004357	0.974233	0.015792	0.004798	0.005177
84	0.004360	0.975265	0.014693	0.004734	0.005308
85	0.004360	0.975611	0.014304	0.004771	0.005314
86	0.004363	0.974665	0.015233	0.004771	0.005331
87	0.004367	0.974474	0.015068	0.005056	0.005402
88	0.004367	0.974038	0.015524	0.004885	0.005553
89	0.004367	0.975335	0.014609	0.004775	0.005281
90	0.004367	0.974480	0.015340	0.004852	0.005328
91	0.004367	0.973713	0.016041	0.004996	0.005251
92	0.004367	0.973434	0.015930	0.005335	0.005301
93	0.004370	0.973253	0.016654	0.004634	0.005459
94	0.004370	0.975419	0.014522	0.004865	0.005194
95	0.004373	0.976288	0.014059	0.004513	0.005140
96	0.004377	0.975171	0.014747	0.004698	0.005385
97	0.004380	0.975224	0.014686	0.004781	0.005308
98	0.004383	0.973384	0.016138	0.004818	0.005660
99	0.004383	0.975379	0.014609	0.004791	0.005221
100	0.004383	0.974778	0.014991	0.004905	0.005325
101	0.004383	0.976136	0.013888	0.004741	0.005234
102	0.004383	0.975694	0.014351	0.005036	0.004919
103	0.004383	0.975114	0.014800	0.005023	0.005063
104	0.004383	0.975345	0.014512	0.005113	0.005030
105	0.004383	0.976193	0.013409	0.005211	0.005187
106	0.004387	0.975788	0.013848	0.005060	0.005305
107	0.004387	0.974715	0.015069	0.004869	0.005348
108	0.004387	0.974456	0.015149	0.004852	0.005543
109	0.004390	0.975288	0.014180	0.005003	0.005529
110	0.004390	0.975134	0.014411	0.004949	0.005506
111	0.004393	0.974986	0.014401	0.005134	0.005479
112	0.004393	0.974027	0.015615	0.005184	0.005174
113	0.004397	0.974094	0.015397	0.005274	0.005234
114	0.004397	0.974366	0.015106	0.005234	0.005295
115	0.004400	0.975026	0.014546	0.005107	0.005321
116	0.004400	0.973990	0.015424	0.005234	0.005352
117	0.004400	0.972920	0.016698	0.005053	0.005328
118	0.004403	0.973903	0.015850	0.005010	0.005238
119	0.004407	0.973946	0.015579	0.005164	0.005311
120	0.004407	0.974560	0.014891	0.005214	0.005335
121	0.004407	0.973614	0.015696	0.005194	0.005496
122	0.004407	0.973604	0.015944	0.004916	0.005536
123	0.004407	0.974372	0.015200	0.004953	0.005476
124	0.004407	0.973118	0.016155	0.005140	0.005586
125	0.004407	0.974181	0.015032	0.005335	0.005452
126	0.004410	0.975435	0.013855	0.005308	0.005402
127	0.004413	0.972769	0.016206	0.005368	0.005657
128	0.004413	0.972595	0.016390	0.005308	0.005707
129	0.004417	0.973862	0.015230	0.005271	0.005637
130	0.004423	0.974848	0.014516	0.005053	0.005583
131	0.004430	0.975555	0.013849	0.005161	0.005436
132	0.004433	0.972111	0.017249	0.005114	0.005526
133	0.004437	0.975042	0.014352	0.005016	0.005590
